"","version","age_1","agegroup_1","sex_1","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16a","v16b","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v51","v52","v53","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v68a","v69","v70","v71","v72a","v72b","v73a","v73b","v74a","v74b","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v159","v160","v161","v162","v163","v164","v165","v166","v167","v168","v169","v170","v171","v172","v173","v174","v175","v176","nv176","v177","v178","v179","nv179","v179a","v180","nv180","v180a","v181_1","v182","v183","v184","v185","v186","v187","v188","v189_1","v190","v191","v192","v193","v194_1","v195","day","month","zone","sample","panel","mergenumber","age_2","agegroup_2","sex_2","v189_2","v181_2","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","q21","v194_2","date","w_arabs"
"210",3,34,3,2,1,3,3,1,5,4,NA,NA,NA,NA,NA,3,2,2,1,NA,NA,3,4,2,1,3,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,NA,NA,NA,2,1,3,2,3,NA,NA,NA,2,NA,2,NA,NA,3,3,NA,NA,NA,2,6,8,9,5,7,9,8,3,NA,10,7,8,1,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,7,7,9,8,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,NA,NA,3,5,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,9,1,1,NA,NA,100,70,50,3,99,1,1,2,4,3,NA,NA,NA,NA,8,8,8,2,1,1,NA,NA,66,3,8,66,3,8,12,2,"23",3,1,4,3,3,1,2,3,0,7220,1,1,3,2,8,3,0,89401491,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"211",3,47,4,2,1,3,4,1,2,3,NA,NA,NA,NA,NA,2,2,4,2,NA,NA,2,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,NA,NA,NA,4,3,3,2,2,NA,NA,NA,3,NA,2,NA,NA,1,4,NA,NA,NA,3,4,4,4,7,1,1,1,4,NA,1,1,1,2,1,9,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,9,3,9,2,9,2,9,4,NA,9,NA,2,1,1,3,9,NA,2,3,1,2,3,NA,NA,5,5,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,5,99,2,NA,NA,40,60,20,1,1,2,1,4,2,3,NA,NA,NA,NA,8,8,1,1,1,1,NA,NA,65,2,7,65,2,7,12,2,"33",3,1,4,3,3,1,1,4,0,6900,1,1,21,1,9,1,0,97652633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"212",3,23,2,2,1,4,3,1,5,2,NA,NA,NA,NA,NA,2,1,4,4,NA,NA,1,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,3,1,3,4,NA,NA,NA,1,3,3,3,4,NA,NA,NA,3,NA,3,NA,NA,2,3,NA,NA,NA,2,1,1,8,1,8,7,8,9,NA,1,1,5,5,NA,9,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,0,2,10,9,10,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,NA,2,3,2,3,5,NA,4,NA,5,NA,2,3,1,3,2,3,2,1,5,NA,5,NA,NA,1,4,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,5,98,97,NA,NA,50,80,20,3,97,1,2,1,9,9,NA,NA,NA,NA,8,8,1,3,1,1,NA,NA,1,1,6,1,1,6,12,2,"33",9,1,3,3,3,1,3,3,1,3000,1,1,21,1,50,1,0,504274457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"213",3,19,1,2,1,5,4,52,2,3,NA,NA,NA,NA,NA,3,1,4,3,NA,NA,1,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,NA,NA,NA,4,9,4,4,3,NA,NA,NA,2,NA,4,NA,NA,3,4,NA,NA,NA,3,5,2,7,999,999,999,999,3,NA,5,1,7,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,2,2,8,8,8,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,9,5,NA,5,NA,2,3,4,NA,3,2,2,3,5,NA,4,NA,2,3,1,2,2,NA,NA,1,5,NA,5,1,1,1,2,1,1,1,2,2,9,1,1,2,5,2,98,NA,NA,50,75,30,1,98,2,1,4,2,3,NA,NA,NA,NA,8,8,1,2,1,1,NA,NA,16,4,9,1,1,6,12,2,"37",2,1,6,3,2,1,1,6,0,2660,1,1,4,2,50,3,0,506199114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"214",3,32,3,1,1,5,4,17,5,5,NA,NA,NA,NA,NA,2,1,4,4,NA,NA,3,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,2,9,NA,NA,NA,3,4,2,4,3,NA,NA,NA,4,NA,2,NA,NA,3,3,NA,NA,NA,2,999,999,999,999,999,999,999,99,NA,5,1,7,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,5,NA,2,3,2,3,4,NA,5,NA,2,3,2,3,2,3,1,3,1,3,2,NA,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,5,98,97,NA,NA,20,80,0,3,97,1,2,1,3,4,NA,NA,NA,NA,1,2,1,2,70,3,NA,NA,70,3,2,38,6,2,13,2,"44",5,1,3,3,3,1,1,4,1,1139,1,1,25,1,52,2,0,522447539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"215",2,57,5,1,1,1,2,21,1,3,NA,NA,NA,NA,NA,1,2,3,3,NA,NA,4,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,3,2,4,2,2,NA,NA,NA,4,4,4,4,4,2,3,NA,NA,NA,3,999,999,999,999,999,999,999,99,1,99,99,99,9,NA,9,NA,9,NA,5,5,5,3,5,5,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,9,NA,9,NA,9,NA,9,NA,NA,2,NA,5,5,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,99,99,8,99,100,100,100,4,99,1,1,3,4,2,NA,NA,NA,NA,1,3,1,2,1,1,NA,NA,25,4,9,25,4,9,16,2,"21",4,1,5,3,3,1,1,6,1,7800,1,1,19,1,4,1,1,46231970,57,5,1,1,14,1,NA,1,99,2,4,1,5,2,2,5,5,2,2,2,5,3,4,9,2,1,1,NA,1
"216",3,25,2,1,1,3,3,37,5,4,NA,NA,NA,NA,NA,2,1,4,3,NA,NA,2,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,3,2,9,4,NA,NA,NA,3,3,2,3,2,NA,NA,NA,3,NA,3,NA,NA,3,4,NA,NA,NA,2,1,1,1,1,3,2,2,9,NA,7,1,1,1,3,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,1,1,0,4,4,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,1,2,2,3,2,3,4,NA,5,NA,1,3,5,NA,5,NA,2,3,4,NA,8,NA,NA,4,2,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,9,5,97,NA,NA,40,65,30,4,97,2,2,1,3,4,NA,NA,NA,NA,2,8,1,3,1,1,NA,NA,18,4,9,1,1,6,13,2,"y5",3,1,4,3,3,1,2,6,0,8200,1,1,28,1,50,2,1,506319474,25,2,1,1,13,1,NA,9,8,4,2,2,5,2,4,4,2,2,2,4,4,2,4,1,2,2,1,11,1
"217",1,43,4,1,1,3,3,2,5,3,5,3,99,3,3,3,3,2,1,2,1,3,3,4,1,2,1,5,7,3,4,3,6,1,9,2,1,1,4,3,4,2,4,2,2,1,3,1,2,NA,2,NA,NA,3,3,6,6,99,2,6,7,4,8,4,1,5,4,NA,6,5,3,2,1,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,3,2,3,2,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,4,NA,1,3,3,2,NA,NA,7,5,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,8,8,NA,NA,NA,NA,NA,NA,3,1,1,2,4,3,NA,NA,NA,NA,2,2,2,1,1,1,NA,NA,NA,NA,11,NA,NA,NA,22,1,"8",2,2,4,3,3,1,1,6,0,3000,1,1,19,1,2,1,1,26421731,43,4,1,1,20,1,NA,8,91,2,4,5,5,1,4,5,1,4,4,3,3,3,4,1,5,2,1,11,1
"218",1,22,1,2,1,3,3,4,4,4,5,99,6,4,1,2,1,4,4,3,2,1,2,1,3,4,7,7,6,1,7,5,2,3,1,2,4,4,1,1,1,3,2,3,3,4,1,4,4,NA,4,NA,NA,2,2,5,8,8,1,1,1,10,1,10,9,4,5,NA,1,1,5,2,3,9,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,3,3,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,NA,2,9,2,9,9,NA,NA,NA,2,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,5,5,NA,NA,NA,NA,NA,NA,5,2,2,4,1,3,NA,NA,NA,NA,8,8,8,4,1,1,NA,NA,1,1,6,1,1,6,12,2,"15",5,4,3,3,3,1,3,4,1,3765,1,1,19,1,2,1,1,29941066,22,1,2,1,13,1,NA,5,5,4,1,4,5,2,4,5,2,2,4,5,4,2,4,1,9,1,1,11,1
"219",1,70,7,1,1,2,3,52,2,3,5,5,99,4,2,1,2,3,4,3,2,2,2,1,3,4,7,7,2,7,1,7,4,2,1,2,2,3,1,2,2,1,3,1,1,1,1,NA,4,NA,3,NA,NA,2,4,7,7,99,2,4,4,9,6,9,8,3,3,NA,8,4,9,2,3,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,2,1,2,1,3,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,9,NA,2,9,2,1,4,NA,NA,NA,1,4,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,2,NA,NA,NA,NA,NA,NA,95,1,2,1,4,3,NA,NA,NA,NA,2,8,1,4,1,1,NA,NA,25,4,9,25,4,9,14,2,"41",3,3,4,3,3,1,3,6,0,5000,1,1,18,1,3,1,1,35235345,70,7,1,1,15,1,NA,2,2,1,1,1,3,1,5,3,5,1,1,1,5,2,4,5,5,2,1,11,1
"220",1,34,3,2,1,9,4,23,4,3,1,1,1,4,1,9,9,4,4,9,9,4,4,3,9,9,1,1,1,1,1,1,1,1,2,2,9,9,9,9,4,4,9,3,3,2,9,2,3,NA,3,NA,NA,4,4,9,99,99,9,999,999,999,999,999,999,999,9,NA,99,99,99,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,3,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,2,3,1,2,NA,NA,7,1,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,12,99,NA,NA,NA,NA,NA,NA,12,2,9,9,9,9,NA,NA,NA,NA,8,4,8,1,1,1,NA,NA,1,1,6,1,1,6,15,2,"17",3,1,3,3,3,1,9,5,0,6600,1,1,22,1,3,1,1,35581058,34,NA,2,1,12,1,NA,1,90,2,3,1,5,2,3,3,3,3,5,3,3,3,3,2,9,2,1,11,1
"221",1,30,3,2,1,3,3,1,4,3,4,4,99,3,2,3,3,3,1,3,2,3,3,4,2,1,7,7,7,3,7,1,7,1,1,1,2,4,2,2,2,4,3,3,2,2,3,3,3,NA,4,NA,NA,2,2,7,7,99,3,5,3,3,2,2,6,1,9,NA,7,4,4,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,1,3,2,3,1,3,NA,NA,4,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,97,90,NA,NA,NA,NA,NA,NA,1,2,1,2,4,3,NA,NA,NA,NA,8,2,1,2,1,1,NA,NA,53,4,9,56,3,8,16,1,"8",3,1,4,3,3,1,1,6,0,6600,1,1,22,1,3,1,1,36511750,30,NA,2,1,16,1,NA,1,90,3,2,2,5,2,5,5,3,3,4,3,4,3,4,5,2,2,1,11,1
"222",1,25,2,2,1,3,3,45,5,4,7,4,8,4,1,1,2,3,4,3,2,3,3,1,4,2,6,7,7,1,7,3,5,1,1,3,1,3,1,1,4,2,4,3,1,1,2,3,4,NA,4,NA,NA,1,2,8,8,9,2,8,7,4,1,4,6,999,1,NA,9,8,99,1,3,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,3,1,1,2,NA,NA,4,5,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,90,NA,NA,NA,NA,NA,NA,11,1,2,1,3,4,NA,NA,NA,NA,1,3,1,2,1,1,NA,NA,69,3,8,70,3,8,12,2,"y9",3,3,3,3,1,1,2,3,1,2800,1,1,19,1,4,1,1,46941397,24,2,2,1,12,1,NA,1,90,2,4,4,4,2,5,2,2,4,2,1,4,5,2,9,1,1,1,11,1
"223",1,42,4,2,1,4,1,23,5,3,4,7,2,4,1,1,2,3,1,3,1,1,4,2,3,1,5,7,7,7,7,7,9,2,1,1,3,2,2,9,1,4,3,2,2,3,3,4,4,NA,1,NA,NA,2,4,5,9,9,3,7,5,10,1,4,5,8,3,NA,10,5,1,1,3,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,1,1,1,1,2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,9,NA,9,NA,9,NA,NA,NA,7,5,5,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,97,90,NA,NA,NA,NA,NA,NA,2,1,1,4,2,3,NA,NA,NA,NA,8,8,1,3,1,1,NA,NA,51,5,10,69,3,8,12,2,"45",5,3,3,3,3,1,2,4,1,1034,1,1,19,1,8,1,1,88587969,43,4,2,1,12,1,NA,99,90,2,9,1,5,1,4,4,3,2,5,5,3,5,5,1,3,1,1,11,1
"224",1,39,3,2,1,3,4,21,5,3,6,4,6,4,3,2,2,3,3,3,2,3,1,2,3,4,4,6,6,1,1,1,7,2,1,3,4,9,1,1,4,4,4,4,2,2,1,3,3,NA,3,NA,NA,2,4,6,5,7,2,4,4,4,4,7,4,4,9,NA,4,3,2,1,3,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,1,3,1,1,3,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,1,3,1,3,NA,NA,4,3,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,5,98,NA,NA,NA,NA,NA,NA,13,2,2,1,4,3,NA,NA,NA,NA,8,8,8,2,1,1,NA,NA,66,3,8,1,1,6,18,1,"45",4,2,4,3,2,1,2,6,1,7400,1,1,19,1,9,1,1,98320104,39,3,2,1,18,2,1,NA,98,2,2,9,4,1,5,4,5,3,4,4,4,4,4,9,4,2,1,11,1
"225",2,24,2,1,1,4,4,21,3,3,NA,NA,NA,NA,NA,3,2,4,3,NA,NA,3,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,3,1,3,4,NA,NA,NA,1,4,1,1,1,NA,NA,NA,4,1,4,4,9,2,3,NA,NA,NA,2,1,1,5,1,3,3,2,7,1,1,1,2,2,1,2,3,2,1,5,5,1,1,1,2,1,1,2,3,1,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,2,1,2,1,NA,3,NA,5,1,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,6,6,99,2,6,2,NA,3,4,6,1,2,4,4,1,NA,NA,NA,NA,8,8,8,4,1,1,NA,NA,1,1,6,37,6,11,16,2,"y6",5,1,3,3,4,1,4,3,1,3780,1,1,22,1,2,1,1,25802635,24,NA,1,1,15,1,NA,6,6,4,3,6,5,1,5,5,4,2,4,2,1,1,1,5,2,2,1,11,1
"226",2,57,5,1,1,3,3,1,4,3,NA,NA,NA,NA,NA,2,2,4,2,NA,NA,3,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,NA,NA,NA,3,2,3,3,2,NA,NA,NA,3,2,4,4,1,1,2,NA,NA,NA,3,1,1,10,1,1,1,1,3,1,1,7,10,2,3,9,NA,2,3,2,4,4,4,4,5,1,1,4,1,4,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,9,NA,2,3,2,3,2,1,NA,4,NA,5,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,2,2,2,2,60,80,40,1,2,1,1,2,4,3,NA,NA,NA,NA,8,8,1,2,1,1,NA,NA,1,1,6,1,1,6,12,2,"42",3,2,3,3,3,1,1,3,0,7900,1,1,4,2,3,3,1,39042021,57,NA,1,1,12,1,NA,2,2,4,1,6,4,2,5,5,5,4,1,5,4,1,1,5,1,1,1,11,1
"227",2,57,5,2,1,3,4,37,4,4,NA,NA,NA,NA,NA,2,1,4,4,NA,NA,2,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,NA,NA,NA,4,3,4,4,3,NA,NA,NA,4,4,3,3,3,1,3,NA,NA,NA,3,8,3,1,7,2,5,999,1,1,8,3,7,2,2,1,2,1,2,5,5,5,9,3,2,2,4,4,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,2,1,3,2,1,1,2,NA,3,NA,2,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,1,1,1,1,65,80,20,1,1,1,1,4,2,9,NA,NA,NA,NA,1,8,1,2,1,1,NA,NA,2,5,10,27,4,9,14,2,"33",2,1,6,3,2,1,1,4,1,3760,1,1,2,2,3,3,1,39369003,57,NA,2,1,14,1,NA,1,1,2,3,6,5,2,2,4,4,5,4,4,2,5,2,1,6,2,1,11,1
"228",2,49,4,2,1,3,2,1,2,4,NA,NA,NA,NA,NA,2,2,2,3,NA,NA,3,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,NA,NA,NA,4,3,4,3,1,NA,NA,NA,2,3,2,4,9,2,2,NA,NA,NA,3,1,10,1,1,1,1,1,2,4,5,10,1,1,3,3,1,3,1,2,2,2,2,2,4,3,4,1,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,NA,4,NA,3,2,4,NA,NA,2,NA,2,6,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,5,3,90,3,3,50,70,50,1,1,1,1,2,4,3,NA,NA,NA,NA,8,8,1,2,1,1,NA,NA,1,1,6,1,1,6,9,NA,"47",4,1,3,3,3,1,1,2,1,6500,1,1,26,1,4,2,1,46343210,49,4,2,1,9,1,NA,1,90,2,4,1,5,2,4,4,4,2,2,4,2,4,4,4,2,2,1,11,1
"229",2,70,7,1,1,3,2,23,4,2,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,3,4,3,1,9,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,4,3,4,2,2,NA,NA,NA,4,4,3,4,3,2,3,NA,NA,NA,3,6,10,3,6,4,6,4,2,1,8,10,4,3,1,1,3,3,1,1,2,2,2,1,2,1,2,1,1,1,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,2,3,2,1,2,NA,2,NA,5,6,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,4,3,3,3,3,70,80,60,1,3,1,1,2,4,3,NA,NA,NA,NA,1,3,1,2,1,1,NA,NA,26,4,9,28,4,9,15,2,"69",4,1,4,3,3,1,1,4,0,2018,1,1,18,1,4,1,1,46369172,70,7,1,1,14,1,NA,3,3,2,4,6,4,1,2,4,5,2,2,4,4,1,4,4,2,1,1,11,1
"230",2,59,5,1,1,2,3,1,4,4,NA,NA,NA,NA,NA,2,9,3,4,NA,NA,2,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,NA,NA,NA,3,2,3,3,2,NA,NA,NA,3,3,3,4,2,1,3,NA,NA,NA,3,1,2,7,2,5,5,3,3,1,1,8,2,2,9,2,9,2,9,2,3,3,2,2,5,1,1,1,1,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,NA,4,NA,2,1,2,9,NA,4,NA,5,5,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,6,2,91,2,2,20,50,20,1,2,1,2,1,4,3,NA,NA,NA,NA,1,2,1,3,1,1,NA,NA,25,4,9,27,4,9,15,1,"y3",3,5,4,3,2,1,2,6,0,1061,1,1,1,2,4,3,1,46574922,59,5,1,1,16,1,NA,2,91,4,2,6,3,1,4,4,2,2,3,4,1,3,3,9,2,2,1,11,1
"231",2,63,6,1,1,2,2,17,4,3,NA,NA,NA,NA,NA,1,2,3,4,NA,NA,2,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,4,3,4,3,2,NA,NA,NA,2,3,4,2,2,1,3,NA,NA,NA,2,8,5,7,2,7,7,1,1,1,8,9,7,2,1,1,3,1,3,2,3,3,2,2,4,2,1,1,1,4,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,3,2,2,3,1,2,NA,3,NA,4,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,4,1,1,1,1,50,80,20,2,1,1,2,1,4,3,NA,NA,NA,NA,2,2,1,2,27,4,NA,NA,27,4,3,27,4,3,11,2,"72",5,2,3,3,2,1,1,3,1,6700,1,1,28,1,4,2,1,46796567,63,6,1,1,11,1,NA,1,1,3,3,6,5,1,4,4,4,2,4,2,4,4,4,9,3,2,1,11,1
"232",2,25,2,1,1,2,2,6,1,9,NA,NA,NA,NA,NA,1,2,4,4,NA,NA,2,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,NA,NA,NA,1,3,3,3,2,NA,NA,NA,1,1,3,4,4,1,4,NA,NA,NA,1,9,6,2,1,4,8,8,1,4,9,6,10,1,2,1,3,1,2,2,5,4,3,3,5,3,1,1,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,1,3,1,3,1,2,NA,5,NA,5,5,3,3,1,1,1,1,1,2,2,1,2,4,2,1,1,9,97,90,1,2,70,90,60,1,97,2,2,1,4,3,NA,NA,NA,NA,8,3,1,3,1,1,NA,NA,1,1,6,1,1,6,12,2,"y0",9,5,4,3,3,1,2,3,0,4000,1,1,1,2,4,3,1,48375909,25,2,1,1,12,1,NA,1,90,2,3,1,4,1,4,2,5,4,4,4,5,3,5,9,2,2,1,11,1
